ID,LCLAS_NM,MLSFC_NM,FCLTY_NM,CTPRVN_NM,SIGNGU_NM,LEGALDONG_CD,LEGALDONG_NM,ADSTRD_CD,ADSTRD_NM,RDNMADR_CD,RDNMADR_NM,ZIP_NO,GID_CD,FCLTY_LO,FCLTY_LA,FLAG_NM,REGIST_AT,TEL_NO,OPNNG_DE,REGIST_DC,REGIST_DE,REGIST_NO,HMPG_ADDR,SOUND_PROVD_AT,SOUND_UTILIIZA_PRICE,MOBILE_PROVD_AT,LND_AR_VALUE,BULD_AR_VALUE,DSPY_AR_CN,AR_CN,EDC_FCLTY_AR_VALUE,OFFM_AR_CN,DATA_SPCE_AR_VALUE,DATA_CO,PBLPRFR_CAS_CO,TOT_PROGRM_CO,OPNNG_DAY_CO,VIEWNG_NMPR_CO,DAY_AVRG_VIEWNG_NMPR_CO,VIEWNG_PRICE,INFN_VIEWNG_PRICE,SCHBOY_VIEWNG_PRICE,MSKLSD_VIEWNG_PRICE,ADULT_VIEWNG_PRICE,GRP_DSCNT_RT,ETC_DSCNT_RT,DSCNT_CN,FRE_TRGET_CN,SPECL_VIEWNG_PRICE,INFN_SPECL_VIEWNG_PRICE,SCHBOY_SPECL_VIEWNG_PRICE,MSKLSD_SPECL_VIEWNG_PRICE,ADULT_SPECL_VIEWNG_PRICE,GRP_SPECL_VIEWNG_RT,ETC_SPECL_VIEWNG_DSCNT_RT,ETC_SPECL_VIEWNG_DSCNT_CN,FRE_SPECL_VIEWNG_PRICE,NMPR_CO,GVRNM_EMP_SM_CO,QUALF_HOLD_CO,TOT_CNTRCT_EMP_CO,CNTRCT_EMP_CRTFCT_CO,GNRL_GVRNM_EMP_CO,CNTRCT_EMP_CO,PUBLIC_INTN_CO,PUBLIC_VLNTER_CO,ARTGR_EMP_CO,CURTR_QUALF_HOLD_CO,CURTR_NTHG_QUALF_HOLD_CO,PRFSN_CO,GNRL_EMP_CO,PRVATE_INTN_CO,PRVATE_VLNTER_CO,RM_CN,LAST_CHG_DE,ORIGIN_NM,FILE_NM,BASE_DE
KCDMART22N000000001,문화시설,미술관,국립현대미술관(과천관),경기,과천시,4129010400,막계동,4129056000,문원동,4.12903E+11,경기 과천시 광명로 313,13829,다사575369,127.0199299,37.4310034,국립,등록,02-2188-6114,1986.08.25,Y,2017.12.14,국립13-2017-07호,"www.mmca.go.kr, ,www.facebook.com/MMCAKorea, www.instagram.com/MMCAKorea, ,www.twitter.com/MMCAKOREA, www.youtube.com/MMCAKorea, tv.naver.com/mmca",Y,1000,Y,66916,37796.8,13788.2,3819,1286,4619,"1,172",49264,연4회,45(3관 전체),169,2,1694.893491,,,,,,,,,전체,"기획전시별 별도 책정,(2,000원~3,000원 수준)",,,,,20,20~50,"아시아나클럽 일반회원 20% (카드제시자에 한함),CJone 회원 50% 할인(앱),다둥이카드 소지자 20% 할인","1.일반,만24세 이하 또는 만65세 이상,대학생,국가유공자·독립유공자(유공자증 소지시 본인 및 동반가족),국가유공자·독립유공자 유족증 소지자,미술관에 미술작품 등의 자료 기증자(기증자 카드 소지시 본인 및 동반가족) ,국립현대미술관 유료회원,박물관·미술관 학예사 자격 취득자,예술인패스 소지자,ICOM(국제박물관협의회)카드 소지자,학생인솔교사 및 관광안내사(사전예약 단체에 한함),장애인 및 동행보호자,문화누리카드 소지자,학교폭력 예방교육(학부모 On누리) 이수증 소지자,,2.제휴사,아시아나클럽 우수회원 카드(카드제시자에 한함,,3.매월 마지막 수요일 문화가 있는 날","65,(4관 전체)","65,(4관 전체)",73(4관 전체),"85,(4관 전체)",,73(4관 전체),109(4관전체),,70,,,,,,,,,20220101,문화데이터총람2022,KC_478_DMSTC_MCST_ARTGR_2022,20220101
KCDMART22N000000002,문화시설,미술관,국립현대미술관(서울관),서울,종로구,1111014200,소격동,1111054000,삼청동,1.11103E+11,서울 종로구 삼청로 30,3062,다사540533,126.980088,37.578628,국립,등록,02-3701-9500,2013.11.12,Y,2017.12.14,국립13-2017-08호,"www.mmca.go.kr, www.facebook.com/MMCAKorea, ,www.instagram.com/MMCAKorea, www.twitter.com/MMCAKOREA, ,www.youtube.com/MMCAKorea, tv.naver.com/mmca",Y,1000,Y,27264.37,52125.19,10070,3078,5641.432,2888.05,"1,434",35368,연12회,45(3관 전체),157,937484,5971.235669,,,,,,,,,전체,4000(통합권),,,,,20,20~50,"아시아나클럽 일반회원 20% (카드제시자에 한함),CJone 회원 50% 할인(앱),다둥이카드 소지자 20% 할인","1.일반,만24세 이하 또는 만65세 이상,대학생,국가유공자·독립유공자(유공자증 소지시 본인 및 동반가족),국가유공자·독립유공자 유족증 소지자,미술관에 미술작품 등의 자료 기증자(기증자 카드 소지시 본인 및 동반가족) ,국립현대미술관 유료회원,박물관·미술관 학예사 자격 취득자,예술인패스 소지자,ICOM(국제박물관협의회)카드 소지자,학생인솔교사 및 관광안내사(사전예약 단체에 한함),장애인 및 동행보호자,문화누리카드 소지자,학교폭력 예방교육(학부모 On누리) 이수증 소지자,,2.제휴사,아시아나클럽 우수회원 카드(카드제시자에 한함,,3.매월 마지막 수요일 문화가 있는 날",,,,,,,,,210,,,,,,,,,20220101,문화데이터총람2022,KC_478_DMSTC_MCST_ARTGR_2022,20220101
KCDMART22N000000003,문화시설,미술관,국립현대미술관(덕수궁관),서울,중구,1114016700,정동,1114052000,소공동,1.11402E+11,서울 중구 세종대로 99,4519,다사535519,126.9737258,37.5660868,국립,등록,02-2022-0600,1998.12.01,Y,2017.12.14,국립13-2017-09호,"www.mmca.go.kr, www.facebook.com/MMCAKorea, ,www.instagram.com/MMCAKorea, www.twitter.com/MMCAKOREA,, www.youtube.com/MMCAKorea, tv.naver.com/mmca",Y,1000,Y,1181,2247,1152,275,78,64,,,연4회,45(3관 전체),149,329391,2210.677852,,,,,,,,,,"기획전시별 별도 책정,(2,000원~3,000원 수준),* 덕수궁 입장료 제외",,,,,20,20~50,"아시아나클럽 일반회원 20% (카드제시자에 한함),CJone 회원 50% 할인(앱),다둥이카드 소지자 20% 할인","1.일반,만24세 이하 또는 만65세 이상,대학생,국가유공자·독립유공자(유공자증 소지시 본인 및 동반가족),국가유공자·독립유공자 유족증 소지자,미술관에 미술작품 등의 자료 기증자(기증자 카드 소지시 본인 및 동반가족) ,국립현대미술관 유료회원,박물관·미술관 학예사 자격 취득자,예술인패스 소지자,ICOM(국제박물관협의회)카드 소지자,학생인솔교사 및 관광안내사(사전예약 단체에 한함),장애인 및 동행보호자,문화누리카드 소지자,학교폭력 예방교육(학부모 On누리) 이수증 소지자,,2.제휴사,아시아나클럽 우수회원 카드(카드제시자에 한함,,3.매월 마지막 수요일 문화가 있는 날",,,,,,,,,40,,,,,,,,,20220101,문화데이터총람2022,KC_478_DMSTC_MCST_ARTGR_2022,20220101
KCDMART22N000000004,문화시설,미술관,국립현대미술관 미술품수장센터(청주관),충북,청주시 청원구,4311410200,내덕동,4311453000,내덕2동,4.31143E+11,충북 청주시 청원구 상당로 314,28501,다바993509,127.4923824,36.6561955,국립,미등록,043-261-1400,2018.12.27,N,미등록,미등록,"www.mmca.go.kr, www.facebook.com/MMCAKorea, ,www.instagram.com/MMCAKorea, www.twitter.com/MMCAKOREA,, www.youtube.com/MMCAKorea, tv.naver.com/mmca",N,,N,12077,19865,3870,7384,295,639,72,4120,연3회,6,300,101793,339.31,,,,,,,,,전체,,,,,,,,,전체,,,,,,,,,,,,,,,,,,20220101,문화데이터총람2022,KC_478_DMSTC_MCST_ARTGR_2022,20220101
KCDMART22N000000005,문화시설,미술관,DDP디자인뮤지엄,서울,중구,1114014900,을지로7가,1114059000,광희동,1.11403E+11,서울 중구 을지로 281,4566,다사568521,127.0108904,37.5680446,공립,등록,02-2153-0001,2014,Y,2020.02.17,서울-공립13-2020-01호,www.ddp.or.kr,N,,N,62108.7,82464.1,1557,871,1789,428,,,연8회,1,162,12431,76.7345679,,,,,,,,,전체,,,,,,,,,,,,,,,,,,,,,,,,,,,20220101,문화데이터총람2022,KC_478_DMSTC_MCST_ARTGR_2022,20220101
KCDMART22N000000006,문화시설,미술관,겸재정선미술관,서울,강서구,1150010400,가양동,1150060300,가양1동,1.15004E+11,서울 강서구 양천로47길 36,7522,다사415527,126.838412,37.572223,공립,등록,02-2659-2206,2009.04.23,Y,2014.02.14,서울-공립13-2014-03호,www.gjjs.or.kr,N,,N,3561,3305,606,109,343,74,13,3078,연7회,8,295,22845,77.44067797,"1,000",,500,500,"1,000",30~40,35,"겸재정선미술관-허준박물관 통합관람권(35%), 2,4주 토요일 무료입장, 문화가 있는 날 야간 무료입장 등","미취학 6세이하, 65세 이상, 장애인, 국가유공자, 독립유공자, 장애인 보호자, 다둥이행복카드 소지자, 투표확인증 제출자 등","1,000",,500,500,"1,000",30~40,35,"겸재정선미술관-허준박물관 통합관람권(35%), 2,4주 토요일 무료입장, 문화가 있는 날 야간 무료입장 등","미취학 6세이하, 65세 이상, 장애인, 국가유공자, 독립유공자, 장애인 보호자, 다둥이행복카드 소지자, 투표확인증 제출자 등",,,,,,,8,,66,,,,,,,,,20220101,문화데이터총람2022,KC_478_DMSTC_MCST_ARTGR_2022,20220101
KCDMART22N000000007,문화시설,미술관,서울시립미술관,서울,중구,1114016600,서소문동,1114052000,소공동,1.11404E+11,서울 중구 덕수궁길 61,4515,다사535517,126.9736993,37.5641061,공립,등록,02-2124-8800,1988.08.19,Y,1999.03.15.,서울-공립13-1999-01호,https://sema.seoul.go.kr/,Y,무료,Y,25402,13433,3256,870,579,20213,205,43076,연22회,50,302,685952,2271.364238,,,,,,,,,전체,,,,,,,,,전체,25,25,51,7,,51,24,,89,,,,,,,,,20220101,문화데이터총람2022,KC_478_DMSTC_MCST_ARTGR_2022,20220101
KCDMART22N000000008,문화시설,미술관,성북구립미술관,서울,성북구,1129010100,성북동,1129052500,성북동,1.12903E+11,서울 성북구 성북로 134,2837,다사554551,126.9948871,37.5948372,공립,등록,02-6925-5011,2009.11.29,Y,2010.12.29,서울-공립21-2010-07호,https://sma.sbculture.or.kr/sma/,N,,N,532,696.06,222,47,,23,,,연2회,5,134,6317,47.14179104,,,,,,,,,전체,,,,,,,,,,6,6,,,,,3,,,,,,,,,,,20220101,문화데이터총람2022,KC_478_DMSTC_MCST_ARTGR_2022,20220101
KCDMART22N000000009,문화시설,미술관,"성북구립 최만린미술관,(성북구립미술관 분관)",서울,성북구,1129013300,정릉동,1129064000,정릉3동,1.12904E+11,서울 성북구 솔샘로7길 23,2708,다사562569,127.004288,37.6106598,공립,미등록,02-6952-5016,2020.08.20,N,미등록,미등록,https://sma.sbculture.or.kr/cml/,N,,N,321,255.36,150,18,,27,35,45316,연2회,6,134,2316,17.28358209,,,,,,,,,전체,,,,,,,,,전체,,,,,,,,,,,,,,,,,,20220101,문화데이터총람2022,KC_478_DMSTC_MCST_ARTGR_2022,20220101
KCDMART22N000000010,문화시설,미술관,"성북어린이미술관 꿈자람,(성북구립미술관 분관)",서울,성북구,1129013700,상월곡동,1129072500,월곡2동,1.12904E+11,서울 성북구 화랑로18자길 13,2791,다사603562,127.0505855,37.6049729,공립,미등록,02-6952-5022,2019.08.13,N,미등록,미등록,https://sma.sbculture.or.kr/children/,N,,N,2468,337.94,119,,,13,,,연3회,2,133,2864,21.53383459,,,,,,,,,전체,,,,,,,,,전체,,,,,,,,,,,,,,,,,,20220101,문화데이터총람2022,KC_478_DMSTC_MCST_ARTGR_2022,20220101
