CTPRVN_NM,SIGNGU_NM,ADSTRD_NM,2024_FCLTY_NM,2024_DATA_CO,2023_DATA_CO,2024_TOT_PROGRM_CO,2023_TOT_PROGRM_CO,2024_VIEWNG_PRICE,2023_VIEWNG_PRICE,2024_ARTGR_EMP_CO,2023_ARTGR_EMP_CO,2024_BULD_AR_VALUE,2023_BULD_AR_VALUE,2024_DSPY_AR_CN,2023_DSPY_AR_CN,FLAG_NM,2024_food_count_by_dong,2024_VIEWNG_NMPR_CO,2023_VIEWNG_NMPR_CO,viewer_decline,DATA_CO_GROWTH_RATE,VIEWNG_PRICE_GROWTH_RATE,TOT_PROGRM_CO_GROWTH_RATE,ARTGR_EMP_CO_GROWTH_RATE,DSPY_AR_CN_GROWTH_RATE
서울,강남구,일원본동,밀알미술관,300,300.0,0.0,0.0,7465,8155.8441558441555,2,2.0,360.0,360.0,300.0,300.0,사립,45,16875,11197,0,0.0,-0.08470541401273882,0.0,0.0,0.0
서울,은평구,진관동,사비나미술관,8000,408.73333333333335,14.0,14.0,15000,15000.0,8,8.0,1740.0,1740.0,1327.0,1327.0,사립,372,8534,8534,0,18.5726635132931,0.0,0.0,0.0,0.0
서울,종로구,평창동,상원미술관,14500,329.125,6.0,7.0,3000,2000.0,3,3.0,343.0,343.0,219.0,219.0,사립,121,3049,3168,1,43.056209646790734,0.5,-0.14285714285714285,0.0,0.0
서울,서초구,서초3동,서울서예박물관,1000,343.3636363636364,0.0,0.0,7465,8155.8441558441555,2,3.0,8917.0,8917.0,1423.0,1423.0,사립,958,223105,71360,0,1.9123643102991792,-0.08470541401273882,0.0,-0.3333333333333333,0.0
서울,종로구,사직동,성곡미술관,2588,343.3636363636364,7.0,0.0,7465,8155.8441558441555,6,2.172661870503597,1530.15,5976.0,1108.62,1454.0,사립,874,28048,25000,0,6.537198835054276,-0.08470541401273882,0.0,1.7615894039735103,-0.23753782668500695
서울,종로구,사직동,세종문화회관 미술관,35000,343.3636363636364,0.0,0.0,7465,8155.8441558441555,3,3.0,64058.0,64058.0,5478.0,5478.0,사립,874,84386,692584,1,100.93275086047126,-0.08470541401273882,0.0,0.0,0.0
서울,종로구,사직동,세화미술관,500,500.0,9.0,12.0,7465,8155.8441558441555,5,2.172661870503597,2133.0,2133.0,1124.8,1124.8,사립,874,15000,15000,0,0.0,-0.08470541401273882,-0.25,1.3013245033112584,0.0
서울,송파구,오륜동,소마미술관,5198,343.3636363636364,13.0,13.0,5000,3000.0,6,5.0,13217.0,13217.0,2412.0,2412.0,사립,62,126122,73052,0,14.138469684935135,0.6666666666666666,0.0,0.2,0.0
서울,종로구,가회동,아라리오뮤지엄 인 스페이스,824,824.0,1.0,0.0,15000,15000.0,3,3.0,1061.14,1061.14,919.0,919.0,사립,210,19812,15521,0,0.0,0.0,0.0,0.0,0.0
서울,종로구,이화동,아르코미술관,11700,343.3636363636364,23.0,40.0,7465,8155.8441558441555,4,2.172661870503597,2998.56,2998.5,715.5,715.5,사립,290,39234,32957,0,33.074662430500396,-0.08470541401273882,-0.425,0.8410596026490068,0.0
