FCLTY_NM,CTPRVN_NM,SIGNGU_NM,ADSTRD_NM,DATA_CO,TOT_PROGRM_CO,VIEWNG_PRICE,ARTGR_EMP_CO,BULD_AR_VALUE,DSPY_AR_CN,FLAG_NM,VIEWNG_NMPR_CO
계명대학교 극재미술관,대구,남구,대명3동,10613,2.0,0,1,78076.0,1401.6,대학,13300
송암미술관,인천,미추홀구,학익1동,1981,5.0,2750,2,3685.0,2069.4,공립,16318
인천아트플랫폼,인천,중구,신포동,9122,9.0,2750,2,5593.0,460.0,공립,14718
더리미미술관,인천,강화군,선원면,300,0.0,2000,1,380.0,280.0,사립,2056
전원미술관,인천,강화군,송해면,4535,7.0,2000,2,566.07,555.87,사립,600
해든뮤지움,인천,강화군,길상면,2588,26.0,13000,3,1986.0,1066.0,사립,12483
경원미술관,인천,연수구,청학동,302,0.0,10000,1,647.99,373.31,사립,500
경인교육대학교 미술관 지누지움,인천,계양구,계산1동,3011,2.0,0,2,482.7,249.0,대학,5000
광주시립미술관,광주,북구,운암2동,11597,7.0,2750,2,13330.0,2921.0,공립,176020
시화문화마을금봉미술관,광주,북구,문화동,4535,12.0,2750,2,982.94,391.0,공립,12654
양림미술관,광주,남구,양림동,3011,0.0,2750,2,318.0,318.0,공립,3000
이강하미술관,광주,남구,양림동,3011,3.0,2750,2,231.9,199.8,공립,18000
국윤미술관,광주,동구,지원1동,200,5.0,7465,1,576.0,124.0,사립,1792
드영미술관,광주,동구,학운동,2588,18.0,7465,5,1222.3,376.0,사립,19593
무등현대미술관,광주,동구,학운동,4535,3.0,7465,4,602.0,412.0,사립,8009
우제길미술관,광주,동구,학운동,2588,5.0,1500,1,1142.8,165.0,사립,2814
은암미술관,광주,동구,충장동,10000,5.0,7465,3,2608.0,398.0,사립,6918
의재미술관,광주,동구,학운동,2588,3.0,2000,3,1562.0,630.0,사립,8601
주안미술관,광주,동구,충장동,350,27.0,7465,5,131.0,125.0,사립,3164
광주대학교 호심미술관,광주,남구,진월동,3011,0.0,0,2,405.0,135.0,대학,10500
대전시립미술관,대전,서구,만년동,24220,8.0,500,2,11081.08,2954.0,공립,182437
이응노미술관,대전,서구,만년동,9689,0.0,2750,2,2700.0,472.0,공립,65924
성암미술관,대전,유성구,온천1동,1000,1.0,7465,2,531.0,247.0,사립,292
울산시립미술관,울산,중구,중앙동,2798,20.0,1000,2,12830.0,2318.0,공립,198334
경기도미술관,경기,안산시,초지동,14328,20.0,2750,2,8277.0,2115.0,공립,150647
경기도자미술관,경기,이천시,관고동,16474,19.0,2750,2,6926.38,1926.91,공립,1525
경기생활도자미술관,경기,여주시,오학동,10613,2.0,2750,2,2858.0,934.0,공립,16553
고양시립 아람미술관,경기,고양시,마두1동,500,21.0,2750,2,1961.0,2801.6,공립,21727
김홍도미술관,경기,안산시,성포동,1000,1.0,2750,2,3072.0,2451.0,공립,39775
백남준아트센터,경기,용인시,상갈동,9665,21.0,2750,2,5605.0,2357.0,공립,123099
성남큐브미술관,경기,성남시,야탑3동,10613,5.0,2750,2,4538.0,1131.0,공립,48424
수원시립미술관,경기,수원시,행궁동,10613,18.0,4000,2,9661.9,2058.6,공립,140222
